country,wc_year,rel_year,gdp_growth,tourism_arrivals
Italy,1990,-2,4.2,
Italy,1990,-1,3.4,
Italy,1990,0,2,
Italy,1990,1,1.5,
Italy,1990,2,0.8,
United States,1994,-2,3.5,
United States,1994,-1,2.8,
United States,1994,0,4,
United States,1994,1,2.7,
United States,1994,2,3.8,
France,1998,-2,1.4,
France,1998,-1,2.5,
France,1998,0,3.5,
France,1998,1,3.4,
France,1998,2,4.1,
South Korea,2002,-2,9.2,
South Korea,2002,-1,4.7,
South Korea,2002,0,7.7,
South Korea,2002,1,3.1,
South Korea,2002,2,5.1,
Germany,2006,-2,1.2,
Germany,2006,-1,0.9,
Germany,2006,0,3.9,
Germany,2006,1,2.9,
Germany,2006,2,0.9,
South Africa,2010,-2,3.2,
South Africa,2010,-1,-1.5,
South Africa,2010,0,3,
South Africa,2010,1,3.2,
South Africa,2010,2,2.4,
Brazil,2014,-2,1.9,
Brazil,2014,-1,3,
Brazil,2014,0,0.5,
Brazil,2014,1,-3.5,
Brazil,2014,2,-3.3,
Russia,2018,-2,0.2,
Russia,2018,-1,1.8,
Russia,2018,0,2.8,
Russia,2018,1,2.2,
Russia,2018,2,-2.7,
